RuleFit-Bin Results  (467 XGBoost-bin features: 126 ctx + 341 diff)
Accuracy: 0.5843  |  Weighted Acc: 0.6402  |  F1: 0.4357  |  AUC: 0.7578
Non-zero terms: 782  (315 rules, 467 linear terms)

Rank  Type           Coef   Importance   Support  Rule
37    linear      -0.0663       0.0457     1.000  diff_594_Doubleday history
38    rule        -0.1447       0.0456     0.112  diff_1531_discovery and revelation > 0.5 and diff_11052_How to write clickbait titles > -0.5
39    linear      +0.0593       0.0455     1.000  diff_49_positive evaluations
40    rule        -0.1417       0.0454     0.116  diff_379_pronoun followed by a verb <= -0.5 and diff_1531_discovery and revelation <= 0.5 and diff_7346_grab attention / appeal to senses > -0.5
41    linear      +0.0791       0.0451     1.000  diff_2193_tragic and horrific events
42    linear      +0.0887       0.0451     1.000  diff_1216_exile and punishment
43    linear      +0.0865       0.0448     1.000  diff_486_superlatives - most, best
44    rule        -0.1407       0.0448     0.115  diff_959_attackers and intruders <= -0.5
45    linear      +0.0657       0.0445     1.000  diff_1398
46    linear      +0.1458       0.0445     1.000  diff_16115_top n lists
47    rule        +0.2110       0.0444     0.046  diff_1631_pronouns followed by verbs <= -0.5 and diff_11052_How to write clickbait titles > 0.5
48    linear      +0.1163       0.0443     1.000  diff_5200_recognizing or noticing
49    rule        +0.1125       0.0441     0.190  diff_1966_unexpected things > 0.5
50    rule        -0.1927       0.0438     0.055  diff_6843_introduced person or concept <= -0.5 and diff_12705_never <= 0.5
51    rule        +0.1626       0.0427     0.075  diff_903 > 0.5 and diff_1249_incidents / disasters <= 0.5 and diff_8754_effortless efficiency > -0.5 and ctx_923_words starting with L <= 0.5
52    linear      -0.0828       0.0427     1.000  diff_929_describing states or qualities
53    linear      -0.0620       0.0426     1.000  diff_459
54    rule        +0.1244       0.0425     0.135  diff_1531_discovery and revelation > 0.5
55    linear      -0.0699       0.0424     1.000  diff_249
56    linear      -0.0689       0.0424     1.000  diff_1389_past events
57    linear      +0.1488       0.0420     1.000  diff_2007_numerical time durations
58    linear      -0.0876       0.0420     1.000  diff_1489_pld
59    linear      +0.1027       0.0415     1.000  diff_3759_evil AI, monsters
60    rule        -0.1040       0.0413     0.197  diff_1115_describing people or animals > 0.5
61    rule        +0.1711       0.0411     0.062  diff_416 <= -0.5 and diff_484_positive sentiment words > -0.5 and diff_2009 > 0.5
62    linear      +0.0555       0.0410     1.000  diff_184_asking about
63    linear      +0.0625       0.0408     1.000  diff_560_file extensions
64    linear      +0.0671       0.0407     1.000  diff_3244_release date
65    rule        -0.0812       0.0406     0.496  diff_53_technical terms <= 0.5 and diff_926_they > -0.5 and diff_4053_joke, humor, comedy <= 0.5
66    linear      +0.1106       0.0406     1.000  diff_11469_read the following
67    rule        -0.1551       0.0404     0.073  diff_10871_boy or girl <= -0.5 and diff_11469_read the following <= 0.5
68    linear      +0.0804       0.0401     1.000  diff_2390_images
69    linear      -0.0890       0.0400     1.000  ctx_5438_intensifiers with qualities
70    linear      +0.0637       0.0397     1.000  diff_693
71    linear      -0.0659       0.0395     1.000  diff_1386
72    linear      -0.0976       0.0393     1.000  diff_2517_Rukarara River, cerebrex
73    linear      -0.0551       0.0391     1.000  diff_1097_related terms and names
74    linear      +0.0762       0.0391     1.000  diff_3142_asking about who
75    linear      +0.0970       0.0389     1.000  diff_8807_how to respond
76    linear      -0.0507       0.0385     1.000  diff_1_analyzing and processing information
77    linear      +0.0820       0.0384     1.000  diff_1060_Majesty, Highness, Excellency, Holiness
78    rule        +0.1043       0.0381     0.158  diff_686_starts with a <= 0.5 and diff_8878_things or anything <= -0.5
79    linear      +0.0714       0.0379     1.000  diff_42_physical gestures and actions
80    rule        -0.1082       0.0378     0.142  diff_45_could you tell me > 0.5 and diff_6843_introduced person or concept > -0.5 and diff_12705_never <= 0.5
81    linear      -0.0925       0.0375     1.000  diff_1199_indicating an example or illustration
82    linear      -0.0809       0.0375     1.000  diff_1006_machine learning
83    linear      -0.0647       0.0375     1.000  diff_61
84    linear      -0.0735       0.0373     1.000  diff_404
85    linear      +0.0671       0.0367     1.000  diff_2062_counting or listing items/entities
86    rule        -0.1123       0.0367     0.121  diff_543_text descriptions and examples <= -0.5 and diff_563_defines states or conditions > -0.5
87    rule        +0.0866       0.0367     0.234  ctx_5438_intensifiers with qualities > 0.5 and diff_984_contemptuous questions and statements > -0.5
88    linear      -0.0550       0.0366     1.000  diff_296
89    linear      +0.0596       0.0364     1.000  diff_1170_quizzes and puzzles
90    linear      +0.0732       0.0363     1.000  ctx_2982_a followed by specific nouns
91    linear      +0.0699       0.0363     1.000  diff_1531_discovery and revelation
92    linear      -0.0549       0.0358     1.000  diff_2009
93    linear      -0.0974       0.0357     1.000  diff_6317_hope, optimism, and hopelessness
94    linear      +0.0715       0.0355     1.000  diff_1070_seeing and observing
95    linear      -0.0559       0.0355     1.000  diff_1804
96    linear      -0.0731       0.0354     1.000  diff_2281_solving and alleviating
97    linear      -0.0537       0.0353     1.000  diff_606
98    linear      +0.0808       0.0351     1.000  diff_819_time units before temporal markers
99    linear      +0.0554       0.0350     1.000  diff_166_struggle for human connection
100   rule        -0.0993       0.0349     0.144  diff_249 <= -0.5 and diff_4153_roles and actions > -0.5
101   linear      +0.0847       0.0348     1.000  diff_1526_when I/you/they
102   linear      -0.0672       0.0347     1.000  diff_160_quickly rose through ranks
103   linear      +0.1107       0.0347     1.000  diff_10826_lack of knowledge and understanding
104   linear      -0.0596       0.0345     1.000  diff_742_news publications and blog posts
105   linear      +0.0624       0.0344     1.000  diff_224
106   rule        +0.0911       0.0343     0.172  diff_2497 > 0.5
107   linear      -0.0417       0.0343     1.000  diff_1033_conversational prompts
108   linear      +0.0494       0.0342     1.000  diff_2892_instructions or problem context
109   linear      -0.0528       0.0341     1.000  diff_1229_enjoyment and pleasure
110   linear      +0.0652       0.0340     1.000  diff_2695_compelling and crucial appeal
111   linear      +0.0496       0.0337     1.000  diff_1293
112   linear      +0.0676       0.0337     1.000  ctx_510
113   linear      +0.0402       0.0336     1.000  diff_351
114   linear      +0.0760       0.0336     1.000  diff_5609_bigotry, prejudice, and abuse
115   linear      +0.0747       0.0336     1.000  ctx_923_words starting with L
116   linear      -0.0506       0.0332     1.000  diff_258
117   rule        -0.0854       0.0330     0.183  diff_3244_release date > 0.5
118   linear      -0.0430       0.0329     1.000  diff_305
119   linear      -0.0622       0.0329     1.000  diff_7_programming methodologies and techniques
120   linear      -0.0471       0.0329     1.000  diff_726_foreign language text
121   rule        +0.0896       0.0327     0.159  diff_746 > -0.5 and diff_1213_intense negative emotions <= -0.5
122   linear      +0.0597       0.0325     1.000  diff_1065_potential damage and dangers
123   linear      -0.0676       0.0324     1.000  diff_1077_causing motivation or action
124   linear      +0.0447       0.0324     1.000  diff_746
125   linear      -0.0510       0.0321     1.000  diff_7926_specific noun phrases
126   linear      +0.0738       0.0321     1.000  diff_1865
127   rule        -0.0886       0.0316     0.150  diff_75_becomes / dissolves / spun / fails <= -0.5 and diff_286 <= 0.5 and diff_3244_release date <= 0.5
128   linear      +0.0628       0.0314     1.000  ctx_296
129   linear      +0.0596       0.0314     1.000  diff_390
130   rule        +0.0928       0.0313     0.131  diff_605_past-tense narration > 0.5 and diff_9410_subtitles > -0.5
131   linear      +0.0356       0.0313     1.000  diff_416
132   rule        +0.0627       0.0309     0.578  diff_746 > -0.5 and diff_1213_intense negative emotions > -0.5
133   rule        +0.1147       0.0309     0.079  diff_543_text descriptions and examples <= 0.5 and diff_1032_scenes and vehicles > -0.5 and diff_2987 > 0.5 and diff_12139_questions and technical topics > -0.5
134   linear      +0.0447       0.0305     1.000  diff_510
135   linear      +0.0505       0.0302     1.000  diff_3083_in format or style
136   linear      -0.0620       0.0301     1.000  diff_7105_awareness and education
137   linear      -0.0467       0.0297     1.000  diff_1412
138   linear      -0.0403       0.0296     1.000  diff_347
139   linear      -0.0469       0.0295     1.000  diff_9666_word beginnings followed by completions
140   linear      +0.0599       0.0294     1.000  diff_1212
141   linear      -0.0557       0.0293     1.000  diff_16006_DO NOT
142   rule        +0.0920       0.0293     0.114  diff_61 > 0.5 and diff_538_regulation, risk, and governance <= 0.5 and diff_11052_How to write clickbait titles <= 0.5
143   rule        +0.1323       0.0291     0.051  diff_2029_strategic initiatives > 0.5
144   rule        +0.0771       0.0291     0.171  diff_484_positive sentiment words > 0.5 and diff_2633_descriptions of people > -0.5
145   linear      -0.0458       0.0287     1.000  diff_6521_specific queries about topics
146   linear      -0.0529       0.0286     1.000  diff_1623_everyone or everybody
147   rule        +0.0862       0.0286     0.126  diff_959_attackers and intruders > -0.5 and diff_16006_DO NOT > 0.5
148   linear      -0.0468       0.0284     1.000  diff_1769_ending with 'ed', 'ces', 'ivities'
149   rule        -0.0660       0.0283     0.242  diff_1213_intense negative emotions > 0.5
150   linear      -0.0713       0.0283     1.000  ctx_2062_counting or listing items/entities
151   rule        -0.1082       0.0281     0.073  diff_5200_recognizing or noticing > 0.5
152   linear      +0.0560       0.0279     1.000  ctx_500
153   linear      +0.1028       0.0276     1.000  diff_7346_grab attention / appeal to senses
154   rule        -0.0731       0.0275     0.171  diff_2497 <= -0.5
155   rule        +0.1165       0.0271     0.057  diff_391_i am a / i'm a <= 0.5 and diff_634_individuals or organizations <= -0.5 and diff_693 <= -0.5
156   linear      +0.0418       0.0271     1.000  diff_11052_How to write clickbait titles
157   linear      -0.0683       0.0269     1.000  diff_139_error handling
158   linear      +0.0435       0.0268     1.000  diff_613_clarifying question
159   rule        -0.0537       0.0267     0.444  ctx_5438_intensifiers with qualities <= 0.5 and diff_984_contemptuous questions and statements > -0.5 and diff_1280 <= 0.5 and ctx_739_countries or places <= 0.5
160   linear      +0.0483       0.0266     1.000  diff_538_regulation, risk, and governance
161   linear      +0.0889       0.0266     1.000  diff_10013_immediate follow-up actions
162   rule        -0.0778       0.0266     0.135  diff_1531_discovery and revelation <= -0.5
163   rule        +0.0744       0.0266     0.850  diff_538_regulation, risk, and governance <= 0.5
164   rule        -0.0856       0.0266     0.108  diff_538_regulation, risk, and governance > 0.5 and diff_1497_question mark > -0.5 and diff_1874_will tell or disclose <= 0.5
165   linear      +0.0570       0.0265     1.000  ctx_76
166   rule        +0.0657       0.0263     0.200  diff_223 <= -0.5 and diff_249 > -0.5 and diff_4153_roles and actions > -0.5
167   linear      +0.0377       0.0263     1.000  diff_1213_intense negative emotions
168   linear      -0.0438       0.0260     1.000  diff_615_like me to help
169   linear      -0.0556       0.0259     1.000  diff_1321_support and encouragement
170   linear      -0.0363       0.0257     1.000  diff_1455
171   rule        -0.0950       0.0257     0.079  diff_1249_incidents / disasters <= 0.5 and diff_8754_effortless efficiency <= -0.5 and diff_16006_DO NOT <= 0.5
172   linear      -0.0404       0.0256     1.000  diff_904
173   linear      +0.0631       0.0254     1.000  diff_11774_negative medical outcomes
174   linear      -0.0371       0.0252     1.000  diff_1153_Roman Empire, intelligence discipline
175   rule        -0.0723       0.0250     0.139  diff_1497_question mark > 0.5 and diff_3669_video content and analysis > -0.5
176   linear      -0.0410       0.0250     1.000  diff_391_i am a / i'm a
177   linear      +0.0910       0.0249     1.000  diff_15004_never and related negations
178   linear      +0.0733       0.0249     1.000  diff_11957_crying and tears
179   rule        +0.0534       0.0248     0.317  ctx_162 <= 0.5 and diff_903 > -0.5 and diff_1280 > -0.5
180   rule        -0.1074       0.0248     0.057  diff_75_becomes / dissolves / spun / fails <= -0.5 and diff_416 <= -0.5 and diff_484_positive sentiment words > -0.5 and diff_2009 <= 0.5
181   linear      +0.0559       0.0247     1.000  diff_7369_male archetypes and masculinity
182   rule        -0.0538       0.0247     0.698  diff_538_regulation, risk, and governance <= 0.5 and diff_1389_past events > -0.5
183   linear      +0.0390       0.0247     1.000  diff_7473_profanity and vulgarity
184   linear      -0.0346       0.0245     1.000  diff_1834
185   linear      +0.0839       0.0244     1.000  diff_12705_never
186   linear      -0.0399       0.0243     1.000  diff_1247_career
187   linear      +0.0333       0.0243     1.000  diff_468
188   rule        -0.0674       0.0241     0.151  diff_4053_joke, humor, comedy <= -0.5
189   linear      +0.0481       0.0240     1.000  ctx_319
190   rule        +0.0483       0.0239     0.433  diff_61 <= 0.5 and diff_490_detailed explanation > -0.5 and diff_538_regulation, risk, and governance <= 0.5 and diff_11052_How to write clickbait titles <= 0.5
191   rule        -0.0679       0.0239     0.145  diff_543_text descriptions and examples <= 0.5 and diff_1279 > 0.5
192   linear      +0.0446       0.0238     1.000  diff_6155_this, ThisItem, ThisComponent, ThisPC, ThisWorkbook
193   linear      +0.0334       0.0237     1.000  diff_1076_the
194   rule        +0.0663       0.0237     0.150  diff_538_regulation, risk, and governance > 0.5
195   linear      -0.0668       0.0237     1.000  ctx_1196
196   rule        +0.1621       0.0236     0.022  diff_951 <= -0.5 and diff_1236 <= -0.5 and diff_1531_discovery and revelation <= 0.5 and diff_11052_How to write clickbait titles > -0.5
197   rule        +0.2057       0.0235     0.013  diff_1249_incidents / disasters <= 0.5 and diff_8754_effortless efficiency <= -0.5 and diff_16006_DO NOT > 0.5
198   linear      -0.0456       0.0235     1.000  diff_1475_food and names
199   rule        +0.1012       0.0235     0.057  diff_145_time and periods > 0.5 and diff_951 > -0.5 and diff_1531_discovery and revelation <= 0.5 and diff_11052_How to write clickbait titles > -0.5
200   linear      -0.0441       0.0234     1.000  diff_2047_adding the ingredients
201   rule        +0.0652       0.0234     0.151  diff_890 > 0.5 and diff_1115_describing people or animals > -0.5
202   rule        +0.0469       0.0234     0.463  diff_543_text descriptions and examples > -0.5 and diff_892_Likely causing this > -0.5 and diff_901 > -0.5 and ctx_377 <= 0.5
203   linear      -0.0419       0.0234     1.000  diff_903
204   linear      -0.0385       0.0233     1.000  diff_1790_warriors conquering empires and heroes
205   linear      +0.0404       0.0232     1.000  diff_2987
206   linear      +0.0345       0.0230     1.000  diff_14077_difference between two concepts
207   linear      +0.0318       0.0229     1.000  diff_548_asking what or how
208   linear      -0.0393       0.0227     1.000  diff_543_text descriptions and examples
209   linear      +0.0643       0.0226     1.000  diff_6550_disturbing, chilling, brutal, harmful content
210   rule        +0.0650       0.0226     0.141  diff_61 <= 0.5 and diff_490_detailed explanation <= -0.5 and diff_538_regulation, risk, and governance <= 0.5 and diff_11052_How to write clickbait titles <= 0.5
211   linear      +0.0563       0.0225     1.000  diff_13312_describing and representation
212   rule        -0.1669       0.0224     0.018  diff_605_past-tense narration <= -0.5 and diff_2315_you probably use > 0.5
213   linear      +0.0564       0.0224     1.000  diff_4094_his/him relationships
214   linear      +0.0402       0.0223     1.000  diff_1180_pioneer or leader
215   rule        -0.0461       0.0223     0.372  diff_512_lists with explanations <= -0.5
216   linear      -0.0500       0.0222     1.000  diff_641_asking questions and seeking context
217   linear      +0.0360       0.0221     1.000  diff_969
218   linear      -0.0570       0.0220     1.000  ctx_370_all about
219   linear      +0.0335       0.0219     1.000  diff_668
220   rule        -0.0443       0.0217     0.404  diff_526_names and specific entities > -0.5 and diff_1240 <= 0.5 and diff_1389_past events > -0.5
221   rule        -0.0451       0.0216     0.644  diff_890 <= 0.5 and diff_1531_discovery and revelation <= 0.5 and diff_11774_negative medical outcomes > -0.5
222   linear      -0.0403       0.0216     1.000  diff_901
223   linear      +0.0417       0.0215     1.000  diff_3669_video content and analysis
224   linear      -0.0433       0.0215     1.000  diff_1453
225   rule        -0.0532       0.0214     0.204  diff_1176_load balancer > 0.5
226   rule        -0.0846       0.0213     0.068  diff_11469_read the following > 0.5
227   rule        +0.2547       0.0212     0.007  diff_2007_numerical time durations > 0.5 and diff_2633_descriptions of people <= -0.5
228   linear      +0.0321       0.0212     1.000  diff_484_positive sentiment words
229   linear      +0.0282       0.0212     1.000  diff_159
230   linear      +0.0462       0.0212     1.000  ctx_1730_remarkable and amazing qualities
231   linear      +0.0346       0.0211     1.000  diff_1310_发热
232   linear      -0.0383       0.0209     1.000  diff_647
233   linear      +0.0244       0.0209     1.000  diff_2516
234   linear      -0.0419       0.0209     1.000  ctx_746
235   linear      -0.0373       0.0209     1.000  diff_605_past-tense narration
236   linear      +0.0435       0.0208     1.000  diff_1224_YouTube platform
237   rule        +0.0809       0.0208     0.071  diff_5439_offensive content > -0.5 and diff_10362_man descriptions <= -0.5
238   linear      +0.0346       0.0208     1.000  diff_4917_rain in
239   linear      -0.0313       0.0207     1.000  diff_10038_cadavers, Byetta, Lain
240   linear      +0.0443       0.0207     1.000  ctx_379_pronoun followed by a verb
241   linear      +0.0363       0.0206     1.000  diff_1497_question mark
242   linear      -0.0500       0.0205     1.000  diff_4852_advancing initiatives
243   linear      +0.0579       0.0205     1.000  diff_9620_ever, all time
244   rule        +0.0602       0.0204     0.133  diff_543_text descriptions and examples <= 0.5 and diff_1115_describing people or animals > 0.5 and diff_1279 <= 0.5
245   linear      +0.0235       0.0204     1.000  diff_69_prefixes for words
246   rule        -0.0587       0.0203     0.139  diff_1240 <= 0.5 and diff_1389_past events <= -0.5
247   linear      +0.0518       0.0203     1.000  diff_4089_past events or situations
248   linear      -0.0404       0.0202     1.000  ctx_652_words of quantity
249   rule        -0.0744       0.0202     0.080  diff_11774_negative medical outcomes <= -0.5
250   linear      +0.0451       0.0201     1.000  diff_3332_defining a professional role
251   linear      -0.0418       0.0200     1.000  ctx_320
252   linear      -0.0256       0.0200     1.000  diff_136_additional information
253   linear      -0.0370       0.0199     1.000  diff_897
254   linear      -0.0306       0.0198     1.000  diff_5458_code with lists
255   rule        +0.0400       0.0198     0.436  diff_145_time and periods <= 0.5 and diff_951 > -0.5 and diff_1531_discovery and revelation <= 0.5 and diff_3676_incredible, astounding, unparalleled descriptions <= 0.5 and diff_11052_How to write clickbait titles > -0.5
256   linear      -0.0417       0.0198     1.000  diff_309_twenty story buildings
257   linear      -0.0359       0.0196     1.000  diff_436
258   rule        -0.0944       0.0196     0.045  ctx_231 > 0.5 and diff_1176_load balancer <= 0.5 and diff_1966_unexpected things > 0.5
259   linear      +0.0449       0.0196     1.000  ctx_634_individuals or organizations
260   linear      +0.0271       0.0195     1.000  diff_592_conversational starters
261   linear      +0.0520       0.0194     1.000  diff_5713_grammatical mistakes and errors
262   rule        +0.0940       0.0194     0.044  diff_1212 <= 0.5 and diff_2497 <= 0.5 and diff_2517_Rukarara River, cerebrex <= -0.5 and diff_5439_offensive content > -0.5
263   linear      +0.0336       0.0192     1.000  diff_1430_information, then following subject
264   linear      +0.0573       0.0191     1.000  diff_6843_introduced person or concept
265   linear      -0.0405       0.0191     1.000  ctx_2611_comparative descriptions
266   linear      -0.0472       0.0190     1.000  ctx_542_methods and techniques
267   linear      +0.0292       0.0190     1.000  diff_696_expressing concerns or frustration
268   rule        +0.1112       0.0190     0.030  diff_484_positive sentiment words <= 0.5 and diff_526_names and specific entities > 0.5 and diff_750 <= -0.5 and diff_1170_quizzes and puzzles <= 0.5 and diff_1497_question mark > -0.5 and diff_2633_descriptions of people > -0.5 and diff_7346_grab attention / appeal to senses > -0.5
269   linear      -0.0372       0.0187     1.000  diff_1863_cities and outlets
270   rule        -0.0631       0.0186     0.096  ctx_5438_intensifiers with qualities <= 0.5 and diff_984_contemptuous questions and statements > -0.5 and ctx_739_countries or places > 0.5
271   linear      -0.0468       0.0186     1.000  ctx_7612_governance and regulations
272   linear      -0.0371       0.0185     1.000  ctx_848_initializes, calculates
273   rule        -0.0463       0.0184     0.803  diff_1115_describing people or animals > -0.5
274   linear      -0.0309       0.0184     1.000  diff_2012
275   linear      +0.0371       0.0183     1.000  ctx_162
276   rule        -0.0564       0.0183     0.120  diff_4053_joke, humor, comedy <= -0.5 and diff_8878_things or anything <= 0.5
277   linear      -0.0459       0.0182     1.000  ctx_29_you followed by action/state
278   linear      -0.0288       0.0181     1.000  diff_589_currently ongoing or proving
279   rule        +0.0722       0.0179     0.066  ctx_5438_intensifiers with qualities <= 0.5 and diff_984_contemptuous questions and statements > -0.5 and diff_1280 > 0.5 and ctx_739_countries or places <= 0.5
280   linear      +0.0373       0.0178     1.000  ctx_3148_casual conversational phrases
281   linear      +0.0597       0.0178     1.000  diff_2301_contest winner outcome
282   rule        +0.0553       0.0178     0.117  diff_484_positive sentiment words <= 0.5 and diff_1170_quizzes and puzzles > 0.5 and diff_2633_descriptions of people > -0.5
283   rule        -0.1004       0.0177     0.032  diff_9012_time durations and speed > 0.5
284   linear      -0.0259       0.0177     1.000  diff_2936_spaceships, box, action, phone
285   rule        -0.1014       0.0176     0.031  diff_484_positive sentiment words <= -0.5 and diff_3669_video content and analysis <= -0.5
286   rule        -0.0945       0.0175     0.036  diff_7346_grab attention / appeal to senses <= -0.5
287   linear      -0.0291       0.0175     1.000  diff_2723_evaluating ways and outcomes
288   rule        +0.0376       0.0173     0.693  diff_4053_joke, humor, comedy > -0.5 and diff_8878_things or anything > -0.5
289   linear      -0.0191       0.0172     1.000  diff_171_negative emotions or events
290   linear      -0.0336       0.0172     1.000  diff_1280
291   rule        -0.0349       0.0172     0.595  diff_1213_intense negative emotions <= 0.5 and diff_14077_difference between two concepts > -0.5
292   rule        -0.0658       0.0171     0.073  diff_5200_recognizing or noticing <= -0.5
293   linear      -0.0426       0.0171     1.000  ctx_148
294   linear      -0.0305       0.0171     1.000  diff_1023
295   rule        +0.0429       0.0171     0.197  diff_1115_describing people or animals <= -0.5
296   rule        -0.0354       0.0170     0.364  diff_416 > -0.5 and diff_484_positive sentiment words > -0.5 and diff_1315 > -0.5
297   linear      -0.0354       0.0170     1.000  ctx_650_shows up
298   rule        -0.0431       0.0170     0.806  diff_1389_past events <= 0.5
299   rule        +0.0450       0.0170     0.171  diff_1032_scenes and vehicles > 0.5
300   rule        +0.1378       0.0170     0.015  diff_538_regulation, risk, and governance > 0.5 and diff_1497_question mark > -0.5 and diff_1874_will tell or disclose > 0.5
301   rule        -0.0542       0.0169     0.109  diff_1497_question mark > -0.5 and diff_3142_asking about who > 0.5
302   linear      +0.0282       0.0167     1.000  diff_2411
303   linear      +0.0320       0.0167     1.000  diff_686_starts with a
304   rule        -0.0461       0.0166     0.154  diff_171_negative emotions or events > -0.5 and diff_184_asking about > 0.5
305   linear      +0.0220       0.0166     1.000  diff_3148_casual conversational phrases
306   linear      -0.0290       0.0166     1.000  diff_976_bad character judgments
307   rule        -0.0693       0.0166     0.061  diff_391_i am a / i'm a > 0.5 and diff_634_individuals or organizations <= -0.5
308   rule        +0.1141       0.0163     0.021  diff_250 <= -0.5 and diff_399 <= -0.5 and diff_1032_scenes and vehicles <= -0.5
309   linear      -0.0225       0.0162     1.000  diff_4127_your, you, our
310   linear      +0.0186       0.0162     1.000  diff_283_a new
311   linear      +0.0175       0.0162     1.000  diff_506
312   linear      -0.0249       0.0161     1.000  diff_10798_Chinese and numeric entities
313   linear      +0.0289       0.0161     1.000  diff_5748_asking what
314   linear      +0.0279       0.0160     1.000  diff_2633_descriptions of people
315   linear      +0.0342       0.0160     1.000  ctx_231
316   rule        -0.0339       0.0160     0.334  diff_73_false <= -0.5
317   rule        +0.0337       0.0159     0.665  diff_484_positive sentiment words <= 0.5 and diff_1065_potential damage and dangers > -0.5
318   linear      +0.0250       0.0159     1.000  diff_1176_load balancer
319   linear      -0.0228       0.0158     1.000  diff_7052_biological sequences and accession numbers
320   rule        -0.0367       0.0157     0.242  diff_1213_intense negative emotions <= -0.5
321   rule        -0.0723       0.0157     0.049  diff_399 <= -0.5 and diff_11052_How to write clickbait titles > 0.5
322   rule        -0.0384       0.0156     0.210  diff_11052_How to write clickbait titles <= -0.5
323   linear      +0.0411       0.0156     1.000  ctx_14718_that countsthat hasthat makesthat identifiesthat introduce
324   linear      -0.0217       0.0156     1.000  diff_3499_numerical quantities and units
325   rule        -0.0531       0.0155     0.094  diff_250 > -0.5 and diff_1032_scenes and vehicles <= -0.5
326   rule        -0.0427       0.0154     0.155  diff_605_past-tense narration <= -0.5
327   rule        +0.0424       0.0153     0.155  diff_490_detailed explanation > 0.5 and diff_903 <= 0.5 and diff_1249_incidents / disasters <= 0.5 and diff_8754_effortless efficiency > -0.5
328   rule        +0.0388       0.0153     0.194  diff_1389_past events > 0.5
329   linear      -0.0200       0.0153     1.000  diff_331
330   rule        -0.0896       0.0153     0.030  diff_145_time and periods <= 0.5 and diff_951 > -0.5 and diff_1531_discovery and revelation <= 0.5 and diff_3676_incredible, astounding, unparalleled descriptions > 0.5 and diff_11052_How to write clickbait titles > -0.5
331   linear      -0.0308       0.0152     1.000  ctx_414_quantities and amounts
332   linear      +0.0252       0.0151     1.000  diff_650_shows up
333   linear      +0.0256       0.0151     1.000  diff_1195_una vez
334   rule        -0.0318       0.0150     0.664  diff_5439_offensive content <= 0.5 and diff_11052_How to write clickbait titles <= 0.5
335   linear      -0.0208       0.0149     1.000  diff_109
336   linear      -0.0297       0.0148     1.000  ctx_1140_months and numbers
337   rule        +0.0299       0.0148     0.572  diff_506 <= 0.5
